index,CID,SMILES
17870,EDJ-MED-1981ceba-2,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)N2CCC2)Cc2ccc(Cl)cc21
17304,EDJ-MED-841e0cf0-5,O=C(Nc1cncc2ccc(F)cc12)C1CN(S(=O)(=O)C2CC2)Cc2ccc(Cl)cc21
17321,EDJ-MED-670ad2ee-5,O=C(Nc1cncc2ccc(F)cc12)[C@H]1CN(S(=O)(=O)C2CC2)Cc2ccc(Cl)cc21
17322,EDJ-MED-670ad2ee-6,O=C(Nc1cncc2ccc(F)cc12)[C@@H]1CN(S(=O)(=O)C2CC2)Cc2ccc(Cl)cc21
17404,MAT-POS-4223bc15-7,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2COC2)Cc2ccc(Cl)cc21
17406,MAT-POS-4223bc15-9,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2CCCC2O)Cc2ccc(Cl)cc21
17407,MAT-POS-4223bc15-10,N#CC1CC(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1
17408,MAT-POS-4223bc15-11,CC1CCN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1
17410,MAT-POS-4223bc15-13,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2CCC2O)Cc2ccc(Cl)cc21
17412,MAT-POS-4223bc15-15,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2CNC2)Cc2ccc(Cl)cc21
17765,MAT-POS-61f37a1a-2,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)[C@@H]2CCC[C@H]2O)Cc2ccc(Cl)cc21
17869,EDJ-MED-1981ceba-1,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)N2CCOCC2)Cc2ccc(Cl)cc21
17871,EDJ-MED-1981ceba-3,COC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1
17872,EDJ-MED-1981ceba-4,N#CC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1
17873,EDJ-MED-1981ceba-5,CN1CCN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1
17883,PET-UNK-d61f3ea6-1,O=C(Nc1cncc2ccccc12)[C@@H]1CN(S(=O)(=O)N2CCCC2)Cc2ccc(Cl)cc21
17886,PET-UNK-d61f3ea6-4,O=C(Nc1cncc2ccccc12)[C@@H]1CN(S(=O)(=O)N2CCC(F)(F)C2)Cc2ccc(Cl)cc21
18576,BEN-DND-32596b04-1,O=C(Nc1cncc2ccccc12)[C@@H]1CN(S(=O)(=O)N2CCNCC2)Cc2ccc(Cl)cc21
18577,BEN-DND-32596b04-2,CN1CCN(S(=O)(=O)N2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)CC1
18582,BEN-DND-32596b04-7,O=C(Nc1cncc2ccccc12)[C@@H]1CN(S(=O)(=O)N2CC(O)C2)Cc2ccc(Cl)cc21
18583,BEN-DND-32596b04-8,CC1(O)CN(S(=O)(=O)N2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)C1
19059,MAT-POS-5cd9ea36-18,CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
19062,MAT-POS-5cd9ea36-21,CN(CCC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
