index,CID,SMILES
20272,LUO-POS-868e8996-12,CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(c3cncc4ccccc34)C2=O)C1
19344,EDJ-MED-8bb691af-4,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1
20076,MAT-POS-c7726e07-5,CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4ccccc34)C2=O)C1
20077,MAT-POS-c7726e07-6,CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(c3cncc4ccccc34)C2=O)C1
20094,MAT-POS-b4d6b7fc-5,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(F)cc34)C2=O)C1
20095,MAT-POS-b4d6b7fc-6,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4cccc(Cl)c34)C2=O)C1
20271,LUO-POS-868e8996-11,CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4ccccc34)C2=O)C1
20369,ALP-POS-ecbed2ba-12,O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1CC1
20371,ALP-POS-ecbed2ba-14,N#CCNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1
20480,MAT-POS-69786b79-2,O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NC1CC1
20481,MAT-POS-69786b79-3,CC1(NC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1
20482,MAT-POS-69786b79-4,N#CC1(NC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1
20483,ALP-POS-133e7cd9-1,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCCN(c3cncc4ccccc34)C2=O)C1
