index,CID,SMILES
17078,MAT-POS-5369c344-4,CCCOc1cc(Cl)cc2c1OCCC2C(=O)Nc1cncc2ccccc12
13748,DAR-DIA-6a508060-4,COc1cc(Cl)cc2c1OCCC2C(=O)Nc1cncc2ccccc12
14458,NAU-LAT-0543f7f2-10,CC(=O)NCCOc1cc(Cl)cc2c1OCCC2C(=O)Nc1cncc2ccccc12
16841,DAR-DIA-0587064e-10,O=C(Nc1cncc2ccccc12)C1CCOc2c(OCCC(F)(F)F)cc(Cl)cc21
16846,DAR-DIA-0587064e-15,O=C(Nc1cncc2ccccc12)C1CCOc2c(OCC3CC3)cc(Cl)cc21
16848,DAR-DIA-0587064e-17,COCCOc1cc(Cl)cc2c1OCCC2C(=O)Nc1cncc2ccccc12
17254,KAD-UNI-877d7bed-12,O=C1NC(=O)C(CCOc2cc(Cl)cc3c2OCCC3C(=O)Nc2cncc3ccccc23)N1
17258,KAD-UNI-877d7bed-16,O=C(Nc1cncc2ccccc12)C1CCOc2c(OCCN3C(=O)CCC3=O)cc(Cl)cc21
