,count,mean,std,min,25%,50%,75%,max
0,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3964.0,0.06886982845610494,0.2532645979129613,0.0,0.0,0.0,0.0,1.0
2,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3964.0,0.0012613521695257316,0.03549759204391997,0.0,0.0,0.0,0.0,1.0
4,3964.0,0.045408678102926335,0.2082250415141484,0.0,0.0,0.0,0.0,1.0
5,3964.0,0.008577194752774974,0.09222674361485976,0.0,0.0,0.0,0.0,1.0
6,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3964.0,0.02245206861755802,0.1481671740103414,0.0,0.0,0.0,0.0,1.0
14,3964.0,0.0010090817356205853,0.03175402113835488,0.0,0.0,0.0,0.0,1.0
15,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3964.0,0.0007568113017154389,0.027503260954524843,0.0,0.0,0.0,0.0,1.0
24,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,3964.0,0.01639757820383451,0.1270148316265826,0.0,0.0,0.0,0.0,1.0
27,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,3964.0,0.025731584258324926,0.15835338869675755,0.0,0.0,0.0,0.0,1.0
30,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,3964.0,0.0030272452068617556,0.05494399474047457,0.0,0.0,0.0,0.0,1.0
33,3964.0,0.4556004036326943,0.49808760467684415,0.0,0.0,0.0,1.0,1.0
34,3964.0,0.004288597376387487,0.06535505204116132,0.0,0.0,0.0,0.0,1.0
35,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,3964.0,0.01437941473259334,0.11906394671172014,0.0,0.0,0.0,0.0,1.0
37,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,3964.0,0.00479313824419778,0.06907508773053522,0.0,0.0,0.0,0.0,1.0
40,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3964.0,0.002270433905146317,0.04760095211393717,0.0,0.0,0.0,0.0,1.0
42,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,3964.0,0.021442986881937437,0.14487401412422846,0.0,0.0,0.0,0.0,1.0
44,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,3964.0,0.05575176589303733,0.22947067403955615,0.0,0.0,0.0,0.0,1.0
46,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,3964.0,0.005802219979818365,0.07596058073768659,0.0,0.0,0.0,0.0,1.0
58,3964.0,0.0030272452068617556,0.05494399474047457,0.0,0.0,0.0,0.0,1.0
59,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,3964.0,0.9558526740665994,0.2054482602164199,0.0,1.0,1.0,1.0,1.0
65,3964.0,0.007820383451059535,0.08809757641804668,0.0,0.0,0.0,0.0,1.0
66,3964.0,0.0030272452068617556,0.054943994740474573,0.0,0.0,0.0,0.0,1.0
67,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
