index,CID,SMILES
20918,EDJ-MED-3707c4bc-2,CC(C)(C)CS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1
17530,EDJ-MED-7587a9ee-3,CS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1
19346,EDJ-MED-8bb691af-6,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1
20358,ALP-POS-ecbed2ba-1,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CS(=O)(=O)C1
20359,ALP-POS-ecbed2ba-2,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCS(=O)(=O)CC1
20360,ALP-POS-ecbed2ba-3,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1
20362,ALP-POS-ecbed2ba-5,O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1CS(=O)(=O)C1)Cc1ccc(Cl)cc12
20363,ALP-POS-ecbed2ba-6,COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1
20365,ALP-POS-ecbed2ba-8,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCC1
20368,ALP-POS-ecbed2ba-11,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCOCC1
20370,ALP-POS-ecbed2ba-13,CC(C)(C#N)CS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1
20372,ALP-POS-ecbed2ba-15,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCCC1
20379,ALP-POS-ecbed2ba-22,N#CCC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1
20677,EDJ-MED-5cd3920d-5,O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)F)CC1)Cc1ccc(Cl)cc12
20678,EDJ-MED-5cd3920d-6,O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)(F)F)CC1)Cc1ccc(Cl)cc12
20736,PET-UNK-94036022-9,C#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1
20737,PET-UNK-94036022-10,O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(Cl)CC1)Cc1ccc(Cl)cc12
20856,EDJ-MED-4138fde9-7,CN1CC(C#N)(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)C1
20857,EDJ-MED-4138fde9-8,O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1COC1)Cc1ccc(Cl)cc12
20880,EDJ-MED-accc2c4d-1,N#CCCS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1
20882,EDJ-MED-accc2c4d-3,N#CCS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1
20917,EDJ-MED-3707c4bc-1,CC(C)CS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1
