index,CID,SMILES
14281,ADA-UCB-dc2b944c-9,O=C(Nc1c(Br)ncc2ccccc12)[C@@H]1CCOc2ccc(Cl)cc21
14282,ADA-UCB-dc2b944c-10,Cc1ncc2ccccc2c1NC(=O)[C@@H]1CCOc2ccc(Cl)cc21
14283,ADA-UCB-dc2b944c-11,O=C(Nc1cnc(Br)c2ccccc12)[C@@H]1CCOc2ccc(Cl)cc21
14284,ADA-UCB-dc2b944c-12,Cc1ncc(NC(=O)[C@@H]2CCOc3ccc(Cl)cc32)c2ccccc12
14287,ADA-UCB-dc2b944c-15,CC1(C)COc2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14288,ADA-UCB-dc2b944c-16,CC1(C)C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
14291,JAG-UCB-706446eb-1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCC(F)(F)F
14292,JAG-UCB-706446eb-2,CCCNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
14293,JAG-UCB-706446eb-3,O=C(O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
14294,JAG-UCB-706446eb-4,CCOC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
14295,JAG-UCB-706446eb-5,COCCN(C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)C1CCCOC1
14296,JAG-UCB-706446eb-6,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)Nc1ccn[nH]1
14297,JAG-UCB-706446eb-7,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC1CCCOC1
14298,JAG-UCB-706446eb-8,NCc1cccc(C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)c1
14299,VLA-UCB-34f3ed0c-1,C=C(C#N)C(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
14301,VLA-UCB-34f3ed0c-3,O=C(NCc1cc[nH]n1)[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
14302,VLA-UCB-34f3ed0c-4,O=C(Cc1cc[nH]n1)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
14306,VLA-UCB-34f3ed0c-8,O=C(CCc1cc[nH]n1)[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
14307,VLA-UCB-34f3ed0c-9,O=C(CCc1c[nH]c(=O)o1)[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
14308,VLA-UCB-34f3ed0c-10,O=C(Nc1cncc2ccccc12)[C@]1(CCCc2cc[nH]n2)CCOc2ccc(Cl)cc21
14309,VLA-UCB-34f3ed0c-11,O=C1N[C@]2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12
14310,VLA-UCB-34f3ed0c-12,O=C1NC[C@]2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12
14312,VLA-UCB-34f3ed0c-14,O=C1N(c2cncc3ccccc23)C(=O)[C@@]2(CCOc3ccc(Cl)cc32)N1CC1CCCCC1
14313,VLA-UCB-34f3ed0c-15,O=C1N(c2cncc3ccccc23)C(=O)[C@@]2(CCOc3ccc(Cl)cc32)N1CN1CCNCC1
14314,VLA-UCB-34f3ed0c-16,O=C1CN(C(=O)Cc2cc[nH]n2)[C@]2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12
14315,VLA-UCB-34f3ed0c-17,O=C1CN(C(=O)C2CCCCC2)[C@]2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12
14316,VLA-UCB-34f3ed0c-18,O=C1CN(C(=O)N2CCNCC2)[C@]2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12
14317,VLA-UCB-34f3ed0c-19,O=C(c1ccco1)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
14318,VLA-UCB-34f3ed0c-20,O=C(c1c[nH]cn1)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
14319,VLA-UCB-34f3ed0c-21,O=C1CC(CCC(=O)[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CN1
14320,JAG-UCB-7b680c2b-1,CC(C)(C)OC(=O)NCc1cccc(C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)c1
14444,EDJ-MED-28ec730d-1,COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
14445,EDJ-MED-28ec730d-2,COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
14446,EDJ-MED-28ec730d-3,O=C(Nc1cncc2ccccc12)[C@]1(OC2CCOCC2)CCOc2ccc(Cl)cc21
14447,EDJ-MED-28ec730d-4,O=C(Nc1cncc2ccccc12)[C@]1(OCc2cn[nH]c2)CCOc2ccc(Cl)cc21
14448,EDJ-MED-28ec730d-5,O=C(Nc1cncc2ccccc12)[C@]1(OCCc2cn[nH]c2)CCOc2ccc(Cl)cc21
14468,PET-UNK-29afea89-1,C#C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
14469,PET-UNK-29afea89-2,CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
14552,DAR-DIA-0d514e7d-1,COc1cc(Cl)cc2c1OC[C@H](C)[C@H]2C(=O)Nc1cncc2ccccc12
14553,DAR-DIA-0d514e7d-2,COc1cc(Cl)cc2c1OC[C@@H](C)[C@H]2C(=O)Nc1cncc2ccccc12
14554,DAR-DIA-0d514e7d-3,CC1(C)COc2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14555,DAR-DIA-0d514e7d-4,C[C@H]1COc2c(OC3CCCC3)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14556,DAR-DIA-0d514e7d-5,C[C@H]1COc2c(NC3CCCC3)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14557,DAR-DIA-0d514e7d-6,C[C@H]1COc2c(OC3CC3)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14558,DAR-DIA-0d514e7d-7,C[C@H]1COc2c(NC3CC3)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14559,DAR-DIA-0d514e7d-8,C[C@H]1COc2ccc(C#N)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14560,DAR-DIA-0d514e7d-9,C[C@H]1COc2c(-c3ccccc3)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14561,DAR-DIA-0d514e7d-10,C[C@H]1COc2c(Nc3cnn(C)c3)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14562,DAR-DIA-0d514e7d-11,C[C@@H]1COc2ccc(C#N)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
