index,CID,SMILES,mHash,mHashGeneric
0,ANT-DIA-3c79be55-1,N#Cc1ccccc1NC(=O)Cc1c[nH]c2ncccc12,c1ccc(NCCc2c[nH]c3ncccc23)cc1,C1CCC(CCCC2CCC3CCCCC32)CC1
1,ANT-DIA-3c79be55-2,N#Cc1ccccc1NC(=O)Cc1cccnc1,c1ccc(NCCc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
2,ANT-DIA-3c79be55-3,CCNc1ccc(C#N)c(NC(=O)Cc2c[nH]c3ncccc23)c1,c1ccc(NCCc2c[nH]c3ncccc23)cc1,C1CCC(CCCC2CCC3CCCCC32)CC1
3,ANT-DIA-3c79be55-4,CS(=O)(=O)Cc1ccc(C(=O)Nc2cccnc2)o1,c1cncc(NCc2ccco2)c1,C1CCC(CCC2CCCC2)CC1
4,ANT-DIA-3c79be55-5,O=C(Nc1cccnc1)c1ccc(N2CCC(O)CC2)o1,c1cncc(NCc2ccc(N3CCCCC3)o2)c1,C1CCC(CCC2CCC(C3CCCCC3)C2)CC1
5,ROB-UNI-b2e39629-1,CCNc1ccc(C#N)cc1CCNS(C)(=O)=O,c1ccccc1,C1CCCCC1
6,ROB-UNI-b2e39629-2,CS(=O)(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cc(Cl)cc12,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
7,ROB-UNI-b2e39629-3,CCn1cc(CCNS(C)(=O)=O)c2cc(C#N)cc(CCNS(C)(=O)=O)c21,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
8,ROB-UNI-b2e39629-4,CC(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cc(Cl)cc12,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
9,ROB-UNI-b2e39629-5,CCn1cc(CCNC(C)=O)c2cc(C#N)cc(CCNS(C)(=O)=O)c21,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
10,ROB-UNI-b2e39629-6,CC(=O)NCCc1c[nH]c2c(C(C)NC(C)=O)cc(Cl)cc12,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
11,ROB-UNI-b2e39629-7,CC(=O)NCCc1c[nH]c2c(C(C)NC(C)=O)cc(C#N)cc12,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
12,ROB-UNI-b2e39629-8,CCn1cc(CCNC(C)=O)c2cc(C#N)cc(C(C)NC(C)=O)c21,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
13,ROB-UNI-b2e39629-9,CC(=O)NCCc1ccnc2c(CCNS(C)(=O)=O)cc(Cl)cc12,c1ccc2ncccc2c1,C1CCC2CCCCC2C1
14,ROB-UNI-b2e39629-10,CC(=O)NCCc1ccnc2c(CCNS(C)(=O)=O)cc(C#N)cc12,c1ccc2ncccc2c1,C1CCC2CCCCC2C1
15,ROB-UNI-b2e39629-11,CC(=O)NCCc1cn(CC(=O)N2CCOCC2)c2ccc(Cl)cc12,c1ccc2c(c1)ccn2CCN1CCOCC1,C1CCC(CCC2CCC3CCCCC32)CC1
16,ROB-UNI-b2e39629-12,CC(=O)NCCc1cn(CC(=O)N2CCOCC2)c2ccc(C#N)cc12,c1ccc2c(c1)ccn2CCN1CCOCC1,C1CCC(CCC2CCC3CCCCC32)CC1
17,DAR-DIA-23aa0b97-1,N#Cc1cccc(NC(=O)Cc2c[nH]c3ncccc23)c1,c1ccc(NCCc2c[nH]c3ncccc23)cc1,C1CCC(CCCC2CCC3CCCCC32)CC1
18,DAR-DIA-23aa0b97-2,N#Cc1cncc(NC(=O)Cc2c[nH]c3ncccc23)c1,c1cncc(NCCc2c[nH]c3ncccc23)c1,C1CCC(CCCC2CCC3CCCCC32)CC1
19,DAR-DIA-23aa0b97-3,N#Cc1cccc(NC(=O)Cc2cncc(N)c2)c1,c1ccc(NCCc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
20,DAR-DIA-23aa0b97-4,N#Cc1cccc(NC(=O)Cc2cccnc2)c1,c1ccc(NCCc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
21,DAR-DIA-23aa0b97-5,N#Cc1cccc(NC(=O)Nc2cccnc2)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
22,DAR-DIA-23aa0b97-6,N#Cc1cncc(NC(=O)Cc2cccnc2)c1,c1cncc(CCNc2cccnc2)c1,C1CCC(CCCC2CCCCC2)CC1
23,DAR-DIA-23aa0b97-7,N#Cc1cncc(NC(=O)Cc2cncc(N)c2)c1,c1cncc(CCNc2cccnc2)c1,C1CCC(CCCC2CCCCC2)CC1
24,DAR-DIA-23aa0b97-8,N#Cc1cccc(NC(=O)Nc2cncc(N)c2)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
25,DAR-DIA-23aa0b97-9,N#Cc1cncc(NC(=O)Nc2cncc(N)c2)c1,c1cncc(NCNc2cccnc2)c1,C1CCC(CCCC2CCCCC2)CC1
26,DAR-DIA-23aa0b97-10,N#Cc1cncc(NC(=O)Nc2c[nH]c3ncccc23)c1,c1cncc(NCNc2c[nH]c3ncccc23)c1,C1CCC(CCCC2CCC3CCCCC32)CC1
27,DAR-DIA-23aa0b97-11,N#Cc1cccc(NC(=O)Nc2c[nH]c3ncccc23)c1,c1ccc(NCNc2c[nH]c3ncccc23)cc1,C1CCC(CCCC2CCC3CCCCC32)CC1
28,DAR-DIA-23aa0b97-12,O=C(Cc1c[nH]c2ncccc12)Nc1cccc(Cl)c1,c1ccc(NCCc2c[nH]c3ncccc23)cc1,C1CCC(CCCC2CCC3CCCCC32)CC1
29,DAR-DIA-23aa0b97-13,Nc1cncc(NC(=O)Nc2cccc(Cl)c2)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
30,DAR-DIA-23aa0b97-14,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
31,DAR-DIA-23aa0b97-15,O=C(Nc1cccnc1)Nc1cncc(Cl)c1,c1cncc(NCNc2cccnc2)c1,C1CCC(CCCC2CCCCC2)CC1
32,DAR-DIA-23aa0b97-16,O=C(Cc1cncc(Cl)c1)Nc1cccnc1,c1cncc(CCNc2cccnc2)c1,C1CCC(CCCC2CCCCC2)CC1
33,DAR-DIA-23aa0b97-17,N#Cc1cncc(CC(=O)Nc2cccnc2)c1,c1cncc(CCNc2cccnc2)c1,C1CCC(CCCC2CCCCC2)CC1
34,DAR-DIA-23aa0b97-18,N#Cc1cccc(NC(=O)Cc2cncc3ncccc23)c1,c1ccc(NCCc2cncc3ncccc23)cc1,C1CCC(CCCC2CCCC3CCCCC32)CC1
35,DAR-DIA-23aa0b97-19,N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,c1ccc(NCCc2cncc3ccccc23)cc1,C1CCC(CCCC2CCCC3CCCCC32)CC1
36,DAR-DIA-23aa0b97-20,O=C(Cc1cncc2ccccc12)Nc1ccccc1,c1ccc(NCCc2cncc3ccccc23)cc1,C1CCC(CCCC2CCCC3CCCCC32)CC1
37,DAR-DIA-03336633-1,O=C(Nc1ccccc1)Nc1cnccc1CCNC(=O)NC1CCCCC1,c1ccc(NCNc2cnccc2CCNCNC2CCCCC2)cc1,C1CCC(CCCCCC2CCCCC2CCCC2CCCCC2)CC1
38,DAR-DIA-03336633-2,O=C(Cc1cnccc1CCNC(=O)NC1CCCCC1)Nc1ccccc1,c1ccc(NCCc2cnccc2CCNCNC2CCCCC2)cc1,C1CCC(CCCCCC2CCCCC2CCCC2CCCCC2)CC1
39,DAR-DIA-03336633-3,O=C(Nc1cccc(Cl)c1)Nc1cnccc1CCNC(=O)NC1CCCCC1,c1ccc(NCNc2cnccc2CCNCNC2CCCCC2)cc1,C1CCC(CCCCCC2CCCCC2CCCC2CCCCC2)CC1
40,DAR-DIA-03336633-4,N#Cc1cccc(NC(=O)Nc2cnccc2CCNC(=O)NC2CCCCC2)c1,c1ccc(NCNc2cnccc2CCNCNC2CCCCC2)cc1,C1CCC(CCCCCC2CCCCC2CCCC2CCCCC2)CC1
41,DAR-DIA-03336633-5,O=C(CC1CCCCC1)Nc1cnccc1CCNC(=O)NC1CCCCC1,c1cc(CCNCNC2CCCCC2)c(NCCC2CCCCC2)cn1,C1CCC(CCCCCC2CCCCC2CCCC2CCCCC2)CC1
42,DAR-DIA-03336633-6,CN1CCN(CC(=O)Nc2cnccc2CCNC(=O)NC2CCCCC2)CC1,c1cc(CCNCNC2CCCCC2)c(NCCN2CCNCC2)cn1,C1CCC(CCCCCC2CCCCC2CCCC2CCCCC2)CC1
43,DAR-DIA-03336633-7,O=C(Cc1ccccc1)Nc1cnccc1CCNC(=O)NC1CCCCC1,c1ccc(CCNc2cnccc2CCNCNC2CCCCC2)cc1,C1CCC(CCCCCC2CCCCC2CCCC2CCCCC2)CC1
44,DAR-DIA-03336633-8,CN1CCN(C(=O)NCCc2ccncc2NC(=O)Cc2ccccc2)CC1,c1ccc(CCNc2cnccc2CCNCN2CCNCC2)cc1,C1CCC(CCCCC2CCCCC2CCCC2CCCCC2)CC1
45,DAR-DIA-03336633-9,O=C(Cc1ccccc1)Nc1cnccc1CCNC(=O)N1CCCCC1,c1ccc(CCNc2cnccc2CCNCN2CCCCC2)cc1,C1CCC(CCCCC2CCCCC2CCCC2CCCCC2)CC1
46,DAR-DIA-03336633-10,O=C(Cc1ccccc1)Nc1cnccc1CCNC(=O)N1CCOCC1,c1ccc(CCNc2cnccc2CCNCN2CCOCC2)cc1,C1CCC(CCCCC2CCCCC2CCCC2CCCCC2)CC1
47,DAR-DIA-03336633-11,O=C(Nc1ccccc1)Nc1cnccc1CCNC(=O)N1CCCCC1,c1ccc(NCNc2cnccc2CCNCN2CCCCC2)cc1,C1CCC(CCCCC2CCCCC2CCCC2CCCCC2)CC1
48,DAR-DIA-03336633-12,CN1CCN(C(=O)Cc2c[nH]c3nccc(NC(=O)NC4CCCCC4)c23)CC1,c1cc(NCNC2CCCCC2)c2c(CCN3CCNCC3)c[nH]c2n1,C1CCC(CCCC2CCCC3CCC(CCC4CCCCC4)C23)CC1
49,DAR-DIA-03336633-13,O=C(Cc1ccccc1)Nc1c[nH]c2nccc(NC(=O)NC3CCCCC3)c12,c1ccc(CCNc2c[nH]c3nccc(NCNC4CCCCC4)c23)cc1,C1CCC(CCCC2CCCC3CCC(CCCC4CCCCC4)C23)CC1
50,DAR-DIA-03336633-14,O=C(Cc1ccccc1)Nc1c[nH]c2nccc(NC(=O)C3CCCCC3)c12,c1ccc(CCNc2c[nH]c3nccc(NCC4CCCCC4)c23)cc1,C1CCC(CCCC2CCC3CCCC(CCC4CCCCC4)C23)CC1
51,DAR-DIA-03336633-15,NCCc1ccncc1CC(=O)Nc1ccccc1,c1ccc(NCCc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
52,DAR-DIA-842b4336-1,O=C(Nc1cccnc1)Nc1ccsc1,c1cncc(NCNc2cc[s]c2)c1,C1CCC(CCCC2CCCC2)CC1
53,DAR-DIA-842b4336-2,Cn1cc(NC(=O)Nc2cccnc2)cn1,c1cncc(NCNc2cn[nH]c2)c1,C1CCC(CCCC2CCCC2)CC1
54,DAR-DIA-842b4336-3,Cc1ccc(NC(=O)Nc2cccnc2)s1,c1cncc(NCNc2ccc[s]2)c1,C1CCC(CCCC2CCCC2)CC1
55,DAR-DIA-842b4336-4,O=C(Nc1cccnc1)Nc1ccc(Cl)s1,c1cncc(NCNc2ccc[s]2)c1,C1CCC(CCCC2CCCC2)CC1
56,DAR-DIA-842b4336-5,N#Cc1ccc(NC(=O)Nc2cccnc2)s1,c1cncc(NCNc2ccc[s]2)c1,C1CCC(CCCC2CCCC2)CC1
57,DAR-DIA-842b4336-6,N#Cc1coc(NC(=O)Nc2cccnc2)n1,c1cncc(NCNc2ncco2)c1,C1CCC(CCCC2CCCC2)CC1
58,DAR-DIA-842b4336-7,Cc1coc(NC(=O)Nc2cccnc2)n1,c1cncc(NCNc2ncco2)c1,C1CCC(CCCC2CCCC2)CC1
59,DAR-DIA-842b4336-8,O=C(Nc1cccnc1)Nc1nc(Cl)co1,c1cncc(NCNc2ncco2)c1,C1CCC(CCCC2CCCC2)CC1
60,DAR-DIA-842b4336-9,N#Cc1ccc(NC(=O)Nc2cccnc2)o1,c1cncc(NCNc2ccco2)c1,C1CCC(CCCC2CCCC2)CC1
61,DAR-DIA-842b4336-10,O=C(Cc1ccsc1)Nc1cccnc1,c1cncc(NCCc2cc[s]c2)c1,C1CCC(CCCC2CCCC2)CC1
62,DAR-DIA-842b4336-11,Cn1cc(CC(=O)Nc2cccnc2)cn1,c1cncc(NCCc2cn[nH]c2)c1,C1CCC(CCCC2CCCC2)CC1
63,DAR-DIA-842b4336-12,Cc1ccc(CC(=O)Nc2cccnc2)s1,c1cncc(NCCc2ccc[s]2)c1,C1CCC(CCCC2CCCC2)CC1
64,DAR-DIA-842b4336-13,O=C(Cc1ccc(Cl)s1)Nc1cccnc1,c1cncc(NCCc2ccc[s]2)c1,C1CCC(CCCC2CCCC2)CC1
65,DAR-DIA-842b4336-14,N#Cc1ccc(CC(=O)Nc2cccnc2)s1,c1cncc(NCCc2ccc[s]2)c1,C1CCC(CCCC2CCCC2)CC1
66,DAR-DIA-842b4336-15,N#Cc1cnc(CC(=O)Nc2cccnc2)o1,c1cncc(NCCc2ncco2)c1,C1CCC(CCCC2CCCC2)CC1
67,DAR-DIA-842b4336-16,Cc1cnc(CC(=O)Nc2cccnc2)o1,c1cncc(NCCc2ncco2)c1,C1CCC(CCCC2CCCC2)CC1
68,DAR-DIA-842b4336-17,O=C(Cc1cc2cccnc2[nH]1)Nc1ccc(Cl)s1,c1c[s]c(NCCc2cc3cccnc3[nH]2)c1,C1CCC(CCCC2CC3CCCCC3C2)C1
69,DAR-DIA-842b4336-18,Cc1ccc(NC(=O)Cc2cc3cccnc3[nH]2)s1,c1c[s]c(NCCc2cc3cccnc3[nH]2)c1,C1CCC(CCCC2CC3CCCCC3C2)C1
70,DAR-DIA-842b4336-19,N#Cc1ccc(NC(=O)Cc2cc3cccnc3[nH]2)s1,c1c[s]c(NCCc2cc3cccnc3[nH]2)c1,C1CCC(CCCC2CC3CCCCC3C2)C1
71,DAR-DIA-842b4336-20,N#Cc1cnc(NC(=O)Cc2cc3cccnc3[nH]2)o1,c1cnc2[nH]c(CCNc3ncco3)cc2c1,C1CCC(CCCC2CC3CCCCC3C2)C1
72,DAR-DIA-842b4336-21,Cc1cnc(NC(=O)Cc2cc3cccnc3[nH]2)o1,c1cnc2[nH]c(CCNc3ncco3)cc2c1,C1CCC(CCCC2CC3CCCCC3C2)C1
73,DAR-DIA-842b4336-22,O=C(Cc1cc2cccnc2[nH]1)Nc1ncc(Cl)o1,c1cnc2[nH]c(CCNc3ncco3)cc2c1,C1CCC(CCCC2CC3CCCCC3C2)C1
74,DAR-DIA-842b4336-23,Cn1cc(NC(=O)Cc2cc3cccnc3[nH]2)cn1,c1cnc2[nH]c(CCNc3cn[nH]c3)cc2c1,C1CCC(CCCC2CC3CCCCC3C2)C1
75,DAR-DIA-842b4336-24,O=C(Cc1cc2cccnc2[nH]1)Nc1ccsc1,c1cnc2[nH]c(CCNc3cc[s]c3)cc2c1,C1CCC(CCCC2CC3CCCCC3C2)C1
76,DAR-DIA-fc970077-1,O=C1N(c2ccccc2)CCN1c1cccnc1,c1ccc(N2CCN(c3cccnc3)C2)cc1,C1CCC(C2CCC(C3CCCCC3)C2)CC1
77,DAR-DIA-fc970077-2,O=C1NC(c2cccnc2)CCN1c1ccccc1,c1ccc(N2CCC(c3cccnc3)NC2)cc1,C1CCC(C2CCC(C3CCCCC3)CC2)CC1
78,DAR-DIA-fc970077-3,O=c1n(-c2ccccc2)ccn1-c1cccnc1,C1=CN(c2cccnc2)CN1c1ccccc1,C1CCC(C2CCC(C3CCCCC3)C2)CC1
79,DAR-DIA-fc970077-4,O=C1CC(c2cccnc2)CCN1c1ccccc1,c1ccc(N2CCC(c3cccnc3)CC2)cc1,C1CCC(C2CCC(C3CCCCC3)CC2)CC1
80,DAR-DIA-fc970077-5,O=C1CN(c2cccnc2)CCN1c1ccccc1,c1ccc(N2CCN(c3cccnc3)CC2)cc1,C1CCC(C2CCC(C3CCCCC3)CC2)CC1
81,DAR-DIA-fc970077-6,O=C1N(c2ccccc2)CCCN1c1cccnc1,c1ccc(N2CCCN(c3cccnc3)C2)cc1,C1CCC(C2CCCC(C3CCCCC3)C2)CC1
82,DAR-DIA-fc970077-7,O=C1C(c2ccccc2)CCCN1c1cccnc1,c1ccc(C2CCCN(c3cccnc3)C2)cc1,C1CCC(C2CCCC(C3CCCCC3)C2)CC1
83,DAR-DIA-fc970077-8,O=C1C(c2ccccc2)OCCN1c1cccnc1,c1ccc(C2CN(c3cccnc3)CCO2)cc1,C1CCC(C2CCCC(C3CCCCC3)C2)CC1
84,DAR-DIA-fc970077-9,CC(=O)N(C(=O)Nc1ccccc1)c1cccnc1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
85,DAR-DIA-fc970077-10,O=C1N(c2ccccc2)CCCCN1c1cccnc1,c1ccc(N2CCCCN(c3cccnc3)C2)cc1,C1CCC(C2CCCCC(C3CCCCC3)C2)CC1
86,DAR-DIA-fc970077-11,O=C1CN(c2ccccc2)CCCN1c1cccnc1,c1ccc(N2CCCN(c3cccnc3)CC2)cc1,C1CCC(C2CCCC(C3CCCCC3)CC2)CC1
87,DAR-DIA-fc970077-12,O=C1C(c2ccccc2)C=CCN1c1cccnc1,C1=CC(c2ccccc2)CN(c2cccnc2)C1,C1CCC(C2CCCC(C3CCCCC3)C2)CC1
88,DAR-DIA-fc970077-14,O=C(Nc1ccccc1)N(c1cccnc1)c1ccccn1,c1ccc(NCN(c2cccnc2)c2ccccn2)cc1,C1CCC(CCC(C2CCCCC2)C2CCCCC2)CC1
89,DAR-DIA-43a5904b-1,NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,C1=C(Cc2cccnc2)CCC1c1ccccc1,C1CCC(CC2CCC(C3CCCCC3)C2)CC1
90,DAR-DIA-43a5904b-2,NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Br)c1,C1=C(Cc2cccnc2)CCC1c1ccccc1,C1CCC(CC2CCC(C3CCCCC3)C2)CC1
91,DAR-DIA-43a5904b-3,NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(I)c1,C1=C(Cc2cccnc2)CCC1c1ccccc1,C1CCC(CC2CCC(C3CCCCC3)C2)CC1
92,DAR-DIA-43a5904b-4,NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(C(F)(F)F)c1,C1=C(Cc2cccnc2)CCC1c1ccccc1,C1CCC(CC2CCC(C3CCCCC3)C2)CC1
93,DAR-DIA-43a5904b-5,NC(=O)[C@H]1C(O)C(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,C1=C(Cc2cccnc2)CCC1c1ccccc1,C1CCC(CC2CCC(C3CCCCC3)C2)CC1
94,DAR-DIA-43a5904b-6,NC(=O)[C@H]1[C@@H](c2cccc(Cl)c2)C=C(Cc2cccnc2)[C@@H]1O,C1=C(Cc2cccnc2)CCC1c1ccccc1,C1CCC(CC2CCC(C3CCCCC3)C2)CC1
95,DAR-DIA-43a5904b-7,NC(=O)[C@H]1CC(Cc2ccccc2)=C[C@H]1c1cccc(Cl)c1,C1=C(Cc2ccccc2)CCC1c1ccccc1,C1CCC(CC2CCC(C3CCCCC3)C2)CC1
96,DAR-DIA-43a5904b-8,NC(=O)[C@H]1CC(Cc2cncs2)=C[C@H]1c1cccc(Cl)c1,C1=C(Cc2cnc[s]2)CCC1c1ccccc1,C1CCC(C2CCC(CC3CCCC3)C2)CC1
97,DAR-DIA-43a5904b-9,NC(=O)[C@H]1CC(Cc2cnco2)=C[C@H]1c1cccc(Cl)c1,C1=C(Cc2cnco2)CCC1c1ccccc1,C1CCC(C2CCC(CC3CCCC3)C2)CC1
98,DAR-DIA-43a5904b-10,NC(=O)[C@H]1CC(CC2CC2)=C[C@H]1c1cccc(Cl)c1,C1=C(CC2CC2)CCC1c1ccccc1,C1CCC(C2CCC(CC3CC3)C2)CC1
99,DAR-DIA-43a5904b-11,Cn1cc(CC2=C[C@@H](c3cccc(Cl)c3)[C@@H](C(N)=O)C2)cn1,C1=C(Cc2cn[nH]c2)CCC1c1ccccc1,C1CCC(C2CCC(CC3CCCC3)C2)CC1
100,DAR-DIA-43a5904b-12,NCCCCNC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,C1=C(Cc2cccnc2)CCC1c1ccccc1,C1CCC(CC2CCC(C3CCCCC3)C2)CC1
101,DAR-DIA-43a5904b-13,NCCNC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,C1=C(Cc2cccnc2)CCC1c1ccccc1,C1CCC(CC2CCC(C3CCCCC3)C2)CC1
102,DAR-DIA-43a5904b-14,CC(C)CCNC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,C1=C(Cc2cccnc2)CCC1c1ccccc1,C1CCC(CC2CCC(C3CCCCC3)C2)CC1
103,DAR-DIA-43a5904b-15,O=C(NCCN1CCCCC1)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,C1=C(Cc2cccnc2)CC(CNCCN2CCCCC2)C1c1ccccc1,C1CCC(CCCCC2CC(CC3CCCCC3)CC2C2CCCCC2)CC1
104,DAR-DIA-43a5904b-16,O=C(NCCN1CCOCC1)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,C1=C(Cc2cccnc2)CC(CNCCN2CCOCC2)C1c1ccccc1,C1CCC(CCCCC2CC(CC3CCCCC3)CC2C2CCCCC2)CC1
105,DAR-DIA-43a5904b-17,CN1CCN(CCNC(=O)[C@H]2CC(Cc3cccnc3)=C[C@H]2c2cccc(Cl)c2)CC1,C1=C(Cc2cccnc2)CC(CNCCN2CCNCC2)C1c1ccccc1,C1CCC(CCCCC2CC(CC3CCCCC3)CC2C2CCCCC2)CC1
106,WAR-XCH-eb7b662f-1,N#Cc1cccc(NC(=O)Nc2cccnc2)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
107,WAR-XCH-eb7b662f-2,N#Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
108,WAR-XCH-eb7b662f-3,O=C(Nc1cccnc1)Nc1cc(Cl)cc(Cl)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
109,WAR-XCH-eb7b662f-4,O=C(Nc1cccnc1)Nc1cc(O)cc(Cl)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
110,WAR-XCH-eb7b662f-5,Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
111,WAR-XCH-eb7b662f-6,Cc1cccc(NC(=O)Nc2cccnc2)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
112,WAR-XCH-eb7b662f-7,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
113,WAR-XCH-6eb0722e-1,CS(=O)(=O)NCCc1ccc(C#N)cc1NC(=O)Nc1cccnc1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
114,WAR-XCH-6eb0722e-2,CS(=O)(=O)NCCCc1ccc(Cl)cc1NC(=O)Nc1cccnc1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
115,WAR-XCH-6eb0722e-3,CS(=O)(=O)NCCCc1ccc(C#N)cc1NC(=O)Nc1cccnc1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
116,WAR-XCH-6eb0722e-4,CS(=O)(=O)NCCc1ccc(Cl)cc1NC(=O)Nc1cccnc1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
117,WAR-XCH-6eb0722e-5,Cc1ccc(CCNS(C)(=O)=O)c(NC(=O)Nc2cccnc2)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
118,WAR-XCH-6eb0722e-6,Cc1ccc(CCCNS(C)(=O)=O)c(NC(=O)Nc2cccnc2)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
119,ANT-DIA-045cfdc4-1,CNC(=O)[C@H]1CCC[C@H]1c1ccsc1,c1cc(C2CCCC2)c[s]1,C1CCC(C2CCCC2)C1
120,ANT-DIA-045cfdc4-2,COCCNC(=O)[C@H]1CCC[C@H]1c1ccsc1,c1cc(C2CCCC2)c[s]1,C1CCC(C2CCCC2)C1
121,ANT-DIA-045cfdc4-3,O=C(Nc1cncnc1)[C@H]1CCC[C@H]1c1ccsc1,c1ncc(NCC2CCCC2c2cc[s]c2)cn1,C1CCC(CCC2CCCC2C2CCCC2)CC1
122,ANT-DIA-045cfdc4-4,O=C(NCc1ccccn1)[C@H]1CCC[C@H]1c1ccsc1,c1ccc(CNCC2CCCC2c2cc[s]c2)nc1,C1CCC(CCCC2CCCC2C2CCCC2)CC1
123,ANT-DIA-045cfdc4-5,O=C(NCc1cccnc1)[C@H]1CCC[C@H]1c1ccsc1,c1cncc(CNCC2CCCC2c2cc[s]c2)c1,C1CCC(CCCC2CCCC2C2CCCC2)CC1
124,TRY-UNI-714a760b-1,Cc1c(N)cncc1NC(=O)CC1CCCCC1,c1cncc(NCCC2CCCCC2)c1,C1CCC(CCCC2CCCCC2)CC1
125,TRY-UNI-714a760b-2,Cc1c(N)cncc1NC(=O)Cc1ccccc1,c1ccc(CCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
126,TRY-UNI-714a760b-3,Cc1c(N)cncc1NC(=O)Cc1cccc(Cl)c1,c1ccc(CCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
127,TRY-UNI-714a760b-4,Cc1ccncc1NC(=O)Nc1ccccc1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
128,TRY-UNI-714a760b-5,Cc1ccncc1NC(=O)Cc1ccccc1,c1ccc(CCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
129,TRY-UNI-714a760b-6,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,c1ccc(CCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
130,TRY-UNI-714a760b-7,Cc1c(N)cncc1NC(=O)NC1CCCCC1,c1cncc(NCNC2CCCCC2)c1,C1CCC(CCCC2CCCCC2)CC1
131,TRY-UNI-714a760b-8,Cc1c(N)cncc1NC(=O)Nc1ccccc1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
132,TRY-UNI-714a760b-9,Cc1c(N)cncc1NC(=O)Nc1cccc(Cl)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
133,TRY-UNI-714a760b-10,Cc1ccncc1NC(=O)CC1CCCCC1,c1cncc(NCCC2CCCCC2)c1,C1CCC(CCCC2CCCCC2)CC1
