index,CID,SMILES,mHash,mHashGeneric
2418,TAM-UNI-d1c3dd9f-13,CC(=O)N1CCCc2cccc(CN3CCN(C(=O)CCl)CC3)c2C1,c1cc2c(c(CN3CCNCC3)c1)CNCCC2,C1CCC(CC2CCCC3CCCCCC32)CC1
2419,TAM-UNI-d1c3dd9f-14,O=C1Cc2c(cccc2CN2CCN(C(=O)CCl)CC2)CCN1,c1cc2c(c(CN3CCNCC3)c1)CCNCC2,C1CCC(CC2CCCC3CCCCCC32)CC1
2420,TAM-UNI-d1c3dd9f-15,O=C1NCCCc2cccc(CN3CCN(C(=O)CCl)CC3)c21,c1cc2c(c(CN3CCNCC3)c1)CNCCC2,C1CCC(CC2CCCC3CCCCCC32)CC1
2421,TAM-UNI-d1c3dd9f-16,CC(=O)Nc1cc(C#N)cc(CN2CCN(C(=O)CCl)CC2)c1,c1ccc(CN2CCNCC2)cc1,C1CCC(CC2CCCCC2)CC1
2422,TAM-UNI-d1c3dd9f-17,CNC(=O)c1ccc(C#N)cc1CN1CCN(C(=O)CCl)CC1,c1ccc(CN2CCNCC2)cc1,C1CCC(CC2CCCCC2)CC1
2423,TAM-UNI-d1c3dd9f-18,CC(=O)Nc1ccc(C#N)cc1CN1CCN(C(=O)CCl)CC1,c1ccc(CN2CCNCC2)cc1,C1CCC(CC2CCCCC2)CC1
2424,TAM-UNI-d1c3dd9f-19,CC(=O)NCCc1cn(C)c2cc(CN3CCN(C(=O)CCl)CC3)ccc12,c1cc2ccc(CN3CCNCC3)cc2[nH]1,C1CCC(CC2CCC3CCCC3C2)CC1
2425,TAM-UNI-d1c3dd9f-20,CC(=O)NCCc1cn(C)c2c(CN3CCN(C(=O)CCl)CC3)cccc12,c1cc(CN2CCNCC2)c2[nH]ccc2c1,C1CCC(CC2CCCC3CCCC32)CC1
2426,TAM-UNI-d1c3dd9f-21,CC(NC(=O)CCl)c1ccccc1CNC(=O)N1CCOCC1,c1ccc(CNCN2CCOCC2)cc1,C1CCC(CCCC2CCCCC2)CC1
2427,TAM-UNI-d1c3dd9f-22,CC(NC(=O)CCl)c1ccc2ccc(NS(C)(=O)=O)cc2c1,c1ccc2ccccc2c1,C1CCC2CCCCC2C1
2428,TAM-UNI-d1c3dd9f-23,CC(=O)NCCc1cn(C)c2cc(C(C)NC(=O)CCl)ccc12,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
2429,TAM-UNI-d1c3dd9f-24,CC(=O)NCCc1cn(C)c2c(C(C)NC(=O)CCl)cccc12,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
2430,RAF-POL-8f876833-1,CCn1nccc1NC(=O)N1CCCCCO1,c1cc(NCN2CCCCCO2)[nH]n1,C1CCCC(CCC2CCCC2)CC1
2431,ANT-OPE-a517596a-1,CN(C)Cc1cc(-c2ccccc2)n(S(=O)(=O)c2cccnc2)c1,c1ccc(-c2cccn2Sc2cccnc2)cc1,C1CCC(CC2CCCC2C2CCCCC2)CC1
2432,MAK-UNK-e4a48a85-1,NC(CN1CCN(C(=O)CCl)CC1)C(=O)Nc1ccsc1,c1cc(NCCCN2CCNCC2)c[s]1,C1CCC(CCCCC2CCCC2)CC1
2433,MAK-UNK-e4a48a85-2,CNC(=O)C(CCN1CCN(C(=O)CCl)CC1)Nc1ccsc1,c1cc(NCCCN2CCNCC2)c[s]1,C1CCC(CCCCC2CCCC2)CC1
2434,MAK-UNK-e4a48a85-3,Cc1ccc(-c2c(CN3CCC(O)CC3)cnn2-c2cccc(C)c2)cc1,c1ccc(-c2c(CN3CCCCC3)cnn2-c2ccccc2)cc1,C1CCC(CC2CCC(C3CCCCC3)C2C2CCCCC2)CC1
2435,MAK-UNK-e4a48a85-4,Cc1cccc(-c2cc(CN3CCC(O)CC3)nn2Cc2ccccc2)c1,c1ccc(Cn2nc(CN3CCCCC3)cc2-c2ccccc2)cc1,C1CCC(CC2CC(CC3CCCCC3)C(C3CCCCC3)C2)CC1
2436,MAK-UNK-e4a48a85-5,Cc1cccc(Oc2cc3cnc(N(C)C)nc3cc2OCN2CCC(O)CC2)c1,c1ccc(Oc2cc3cncnc3cc2OCN2CCCCC2)cc1,C1CCC(CCC2CC3CCCCC3CC2CC2CCCCC2)CC1
2437,MAK-UNK-e4a48a85-6,Cc1cccc(-c2cc(CN3CCC(O)CC3)nn2C)c1,c1ccc(-c2cc(CN3CCCCC3)n[nH]2)cc1,C1CCC(CC2CCC(C3CCCCC3)C2)CC1
2438,MAK-UNK-e4a48a85-7,O=C(CSCc1cccc(CN2CCN(C(=O)CCl)CC2)c1)CN1CCC(O)CC1,c1cc(CSCCCN2CCCCC2)cc(CN2CCNCC2)c1,C1CCC(CCCCCC2CCCC(CC3CCCCC3)C2)CC1
2439,MAK-UNK-e4a48a85-8,O=C(Nc1cccc(CN2CCN(C(=O)CCl)CC2)c1)c1cnc(Cc2ccsc2)s1,c1cc(CN2CCNCC2)cc(NCc2cnc(Cc3cc[s]c3)[s]2)c1,C1CCC(CC2CCCC(CCC3CCC(CC4CCCC4)C3)C2)CC1
2440,MAK-UNK-e4a48a85-9,Cc1cccc(CCCN2CCC(O)CC2)c1,c1ccc(CCCN2CCCCC2)cc1,C1CCC(CCCC2CCCCC2)CC1
2441,MAK-UNK-e4a48a85-10,Cc1cccc(CN2CC(N3CCC(O)CC3)CC2C(=O)NCCO)c1,c1ccc(CN2CCC(N3CCCCC3)C2)cc1,C1CCC(CC2CCC(C3CCCCC3)C2)CC1
2442,MAK-UNK-e4a48a85-11,Cc1cccc(CNC(CO)CN2CCC(O)CC2)c1,c1ccc(CNCCN2CCCCC2)cc1,C1CCC(CCCCC2CCCCC2)CC1
2443,MAK-UNK-e4a48a85-12,O=C(CCl)N1CCN(C(O)C(O)CN2CCC(O)CC2)CC1,C1CCN(CCCN2CCNCC2)CC1,C1CCC(CCCC2CCCCC2)CC1
2444,MAK-UNK-e4a48a85-13,NC(CCN1CCN(C(=O)CCl)CC1)N1CCC(O)CC1,C1CCN(CCCN2CCNCC2)CC1,C1CCC(CCCC2CCCCC2)CC1
2445,MAK-UNK-e4a48a85-14,CN(CN1CCC(O)CC1)CN1CCN(C(=O)CCl)CC1,C1CCN(CNCN2CCNCC2)CC1,C1CCC(CCCC2CCCCC2)CC1
2446,MAK-UNK-e4a48a85-15,Cc1cccc(CN2CCN(c3cc(Cl)c(-c4cc5cnc(C6CCN(Cc7ccsc7)CC6)nc5[nH]c4=O)c(Cl)c3)CC2)c1,C1=C(c2ccc(N3CCN(Cc4ccccc4)CC3)cc2)CNc2nc(C3CCN(Cc4cc[s]c4)CC3)ncc21,C1CCC(CC2CCC(C3CCC(C4CCC5CC(C6CCC(CC7CCCC7)CC6)CCC5C4)CC3)CC2)CC1
2447,MAK-UNK-e4a48a85-16,Cc1cccc(CN2CCN(C(=O)c3ccc(C#Cc4ccc(C5CCN(Cc6ccsc6)CC5)nc4)cc3)CC2)c1,C(#Cc1ccc(C2CCN(Cc3cc[s]c3)CC2)nc1)c1ccc(CN2CCN(Cc3ccccc3)CC2)cc1,C1CCC(CC2CCC(CC3CCC(CCC4CCC(C5CCC(CC6CCCC6)CC5)CC4)CC3)CC2)CC1
2448,MAK-UNK-e4a48a85-17,Cc1cccc(CN2CCN(c3nc(CC(=O)NCN4CCC(O)CC4)cs3)CC2)c1,c1ccc(CN2CCN(c3nc(CCNCN4CCCCC4)c[s]3)CC2)cc1,C1CCC(CCCCC2CCC(C3CCC(CC4CCCCC4)CC3)C2)CC1
2449,MAK-UNK-e4a48a85-18,Cc1cc(CN2CCN(C(=O)CCl)CC2)ccc1NCCNCN1CCC(O)CC1,c1cc(NCCNCN2CCCCC2)ccc1CN1CCNCC1,C1CCC(CCCCCC2CCC(CC3CCCCC3)CC2)CC1
