Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,30        ,000_10920.sdf            ,011_15697.sdf            ,0.00129        ,0.00129        ,0.00129        ,No        ,8:9,9:17,21:22,22:23,23:24,24:25,25:26,26:27,27:28,28:29
0         ,31        ,000_10920.sdf            ,011_16393.mol2           ,0.00409        ,0.00409        ,0.00409        ,No        ,1:63,4:35,5:3,6:4,7:5,8:44,11:10,12:11,13:12,14:13,15:14,35:6,36:34
0         ,32        ,000_10920.sdf            ,011_17334.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,0:1
1         ,2         ,000_14336.mol2           ,001_14330.sdf            ,0.00050        ,0.00050        ,0.00050        ,No        ,14:12,15:1,16:0,17:2,18:3,19:4,51:13,56:5
1         ,3         ,000_14336.mol2           ,001_14347.mol2           ,0.02732        ,0.02732        ,0.02732        ,Yes       ,1:38,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,33:33,34:34,35:2,36:1,39:0,47:39,48:40,49:41,50:42,51:43,52:44,53:45,54:46,55:47,56:48,65:57,66:58
1         ,4         ,000_14336.mol2           ,002_14336.sdf            ,0.00370        ,0.00370        ,0.00370        ,No        ,0:2,1:1,2:0,3:3,4:4,5:5,6:6,7:7,8:8,14:14,33:33,34:34,35:35,36:36,37:38,38:37,39:39,51:15
1         ,5         ,000_14336.mol2           ,002_15696.sdf            ,0.00123        ,0.00123        ,0.00123        ,No        ,6:6,14:14,27:27,28:28,29:29,30:30,31:31,32:32,51:15
1         ,6         ,000_14336.mol2           ,002_17333.mol2           ,0.07065        ,0.07065        ,0.07065        ,Yes       ,1:52,3:29,4:28,5:27,6:19,7:20,14:12,15:1,16:0,17:2,18:3,19:4,20:5,21:11,22:9,23:8,24:7,25:40,26:6,27:13,28:14,29:15,30:16,31:17,32:18,33:33,34:32,35:30,36:31,47:51,51:43,52:34,53:35,54:36,55:37,56:38,57:42,58:10,59:41,60:39,61:44,62:45,63:46,64:47,65:54,66:53
1         ,7         ,000_14336.mol2           ,003_14347.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,14:14,15:15,16:16,51:6
1         ,8         ,000_14336.mol2           ,003_14349.mol2           ,0.00610        ,0.00610        ,0.00610        ,No        ,14:14,15:15,16:16,17:17,18:18,19:19,27:27,28:28,29:29,30:30,31:31,32:32,51:40,52:41,53:43,54:42,55:45,56:44,61:50,62:51,63:52,64:53
1         ,9         ,000_14336.mol2           ,003_15694.sdf            ,0.00020        ,0.00020        ,0.00020        ,No        ,6:8,7:9,8:10,14:17,27:30,28:31,29:32,30:33,31:34,32:35,51:18
1         ,10        ,000_14336.mol2           ,004_14348.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,14:15,15:16,16:17,51:7
1         ,11        ,000_14336.mol2           ,004_15696.mol2           ,0.00129        ,0.00129        ,0.00129        ,No        ,1:60,3:34,4:33,5:5,6:6,7:7,8:8,14:14,19:15,33:4,34:3,35:2,47:59,51:45,55:17,56:16,65:41,66:40
1         ,12        ,000_14336.mol2           ,004_17334.sdf            ,0.00101        ,0.00101        ,0.00101        ,No        ,6:19,14:12,15:1,16:0,17:2,18:3,19:4,51:13,56:5
1         ,13        ,000_14336.mol2           ,005_14336.sdf            ,0.20190        ,0.20190        ,0.20190        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26,33:33,34:34,35:35,36:36,37:37,38:38,39:39,51:27
1         ,14        ,000_14336.mol2           ,005_14348.mol2           ,0.00674        ,0.00674        ,0.00674        ,No        ,1:59,3:35,4:34,5:6,6:7,7:8,8:9,14:15,15:16,17:18,18:19,19:20,33:5,34:4,35:3,36:1,37:0,38:2,47:58,51:44,52:45,53:47,54:46,55:48,56:49,65:40,66:39
1         ,15        ,000_14336.mol2           ,005_14349.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,14:14,15:15,16:16,51:6
1         ,16        ,000_14336.mol2           ,006_15694.sdf            ,0.00020        ,0.00020        ,0.00020        ,No        ,0:1,3:5,4:6,5:7,6:8,7:9,8:10,33:36,34:37,35:4,40:0,41:3,42:2
1         ,17        ,000_14336.mol2           ,006_15697.mol2           ,0.02472        ,0.02472        ,0.02472        ,No        ,1:44,3:6,4:7,5:8,6:9,7:10,8:11,9:12,10:13,11:14,12:15,13:16,14:17,15:18,16:19,17:20,18:21,19:22,33:36,34:37,35:5,36:1,37:3,38:0,39:2,47:45,48:46,49:47,50:48,51:49,52:50,53:51,54:52,55:53,56:54,65:63,66:64
1         ,18        ,000_14336.mol2           ,006_16393.sdf            ,0.00166        ,0.00166        ,0.00166        ,No        ,6:7,14:15,15:16,27:28,28:29,29:30,30:31,31:32,32:33
1         ,19        ,000_14336.mol2           ,007_14347.sdf            ,0.00499        ,0.00499        ,0.00499        ,No        ,6:6,7:7,8:8,14:14,27:27,28:28,29:29,30:30,31:31,32:32,37:25,51:15
1         ,20        ,000_14336.mol2           ,007_15694.mol2           ,0.00021        ,0.00021        ,0.00021        ,No        ,1:47,3:5,4:6,5:7,6:8,7:9,8:10,14:17,33:36,34:37,35:4,36:1,37:2,38:0,39:3,47:48,51:53,65:67,66:68
1         ,21        ,000_14336.mol2           ,007_15696.sdf            ,0.00045        ,0.00045        ,0.00045        ,No        ,6:6,7:7,14:14,15:15,16:16,51:27
1         ,22        ,000_14336.mol2           ,008_14330.mol2           ,0.00552        ,0.00552        ,0.00552        ,No        ,1:66,3:36,4:37,5:27,6:19,7:20,8:21,17:2,18:3,19:4,20:5,21:11,22:9,23:8,24:7,25:44,26:6,33:28,34:29,35:30,47:67,52:38,53:39,54:40,55:42,56:41,57:46,58:10,59:45,60:43,65:55,66:56
1         ,23        ,000_14336.mol2           ,008_14349.sdf            ,0.00045        ,0.00045        ,0.00045        ,No        ,15:7,16:8,17:6,18:18,52:14,53:17,54:19
1         ,24        ,000_14336.mol2           ,008_15697.sdf            ,0.00096        ,0.00096        ,0.00096        ,No        ,0:3,1:1,2:2,3:5,4:6,5:7,7:10,33:8,34:36,35:37,42:4,43:0,65:9
1         ,25        ,000_14336.mol2           ,009_10920.mol2           ,0.15724        ,0.15724        ,0.15724        ,Yes       ,1:46,3:5,4:6,5:7,6:8,7:9,8:10,9:11,10:12,11:13,12:14,13:15,14:16,15:17,16:18,17:19,18:20,19:21,27:29,28:30,29:31,30:32,31:33,32:34,33:35,34:36,35:4,36:1,37:0,38:3,39:2,47:47,48:48,49:49,50:50,51:51,52:52,53:53,54:54,55:56,56:55,61:61,62:62,63:63,64:64,65:65,66:66
1         ,26        ,000_14336.mol2           ,009_14348.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,15:1,16:2
1         ,27        ,000_14336.mol2           ,009_16393.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,14:15,15:16,16:17,51:7
1         ,28        ,000_14336.mol2           ,010_17333.sdf            ,0.00166        ,0.00166        ,0.00166        ,No        ,6:2,7:1,14:3,15:4,20:5,21:6,22:7,23:8,24:9,25:10,26:11
1         ,29        ,000_14336.mol2           ,010_17334.mol2           ,0.02352        ,0.02352        ,0.02352        ,Yes       ,6:19,7:20,8:21,14:12,17:2,18:3,19:4,20:5,21:6,22:7,23:8,24:9,25:10,26:11,27:13,28:14,29:15,30:16,31:17,32:18,51:42,52:33,53:34,54:35,55:36,56:37,57:38,58:39,59:40,60:41,61:43,62:44,63:45,64:46
1         ,30        ,000_14336.mol2           ,011_15697.sdf            ,0.00083        ,0.00083        ,0.00083        ,No        ,6:9,7:10,9:12,10:13,11:14,12:15,13:16,15:21,17:20,18:18,53:17,54:19
1         ,31        ,000_14336.mol2           ,011_16393.mol2           ,0.01357        ,0.01357        ,0.01357        ,Yes       ,1:63,3:35,4:34,5:6,6:7,7:8,8:9,19:20,20:21,21:27,22:25,23:24,24:23,25:55,26:22,33:5,34:4,35:3,36:1,37:39,38:0,39:2,47:62,55:52,56:53,57:57,58:26,59:56,60:54,65:44,66:43
1         ,32        ,000_14336.mol2           ,011_17334.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
2         ,3         ,001_14330.sdf            ,001_14347.mol2           ,0.00101        ,0.00101        ,0.00101        ,No        ,0:16,1:15,2:17,3:18,4:19,5:48,12:14,13:43,19:6
2         ,4         ,001_14330.sdf            ,002_14336.sdf            ,0.00091        ,0.00091        ,0.00091        ,No        ,12:14,19:6,20:7,21:8,22:9,23:10,24:11,25:12,26:13
2         ,5         ,001_14330.sdf            ,002_15696.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,1:0
2         ,6         ,001_14330.sdf            ,002_17333.mol2           ,0.00075        ,0.00075        ,0.00075        ,No        ,0:0,1:1,2:2,3:3,4:36,12:12,13:43
2         ,7         ,001_14330.sdf            ,003_14347.sdf            ,0.00409        ,0.00409        ,0.00409        ,No        ,0:16,1:15,2:17,12:14,19:6,20:7,22:9,23:10,24:11,25:12,26:13
2         ,8         ,001_14330.sdf            ,003_14349.mol2           ,0.00091        ,0.00091        ,0.00091        ,No        ,12:7,19:40,20:14,27:5,28:33,29:34,30:2,36:3,37:4
2         ,9         ,001_14330.sdf            ,003_15694.sdf            ,0.00078        ,0.00078        ,0.00078        ,No        ,12:9,19:8,27:7,28:36,29:37,30:4,36:5,37:6
2         ,10        ,001_14330.sdf            ,004_14348.sdf            ,0.00370        ,0.00370        ,0.00370        ,No        ,0:17,1:16,2:18,12:15,19:7,20:8,22:10,23:11,24:12,25:13,26:14
2         ,11        ,001_14330.sdf            ,004_15696.mol2           ,0.00000        ,0.00000        ,0.00000        ,No        ,0:39,1:0,2:37,12:38
2         ,12        ,001_14330.sdf            ,004_17334.sdf            ,0.03337        ,0.03337        ,0.03337        ,Yes       ,0:0,1:1,2:2,3:3,4:4,10:10,12:12,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,30:30,36:31,37:32
2         ,13        ,001_14330.sdf            ,005_14336.sdf            ,0.00050        ,0.00050        ,0.00050        ,No        ,0:16,1:15,2:17,3:18,4:19,12:14
2         ,14        ,001_14330.sdf            ,005_14348.mol2           ,0.00166        ,0.00166        ,0.00166        ,No        ,1:16,2:18,3:19,4:47,12:15,13:44,19:7,20:8,21:9
2         ,15        ,001_14330.sdf            ,005_14349.sdf            ,0.00409        ,0.00409        ,0.00409        ,No        ,0:16,1:15,2:17,12:14,19:6,20:7,22:9,23:10,24:11,25:12,26:13
2         ,16        ,001_14330.sdf            ,006_15694.sdf            ,0.00055        ,0.00055        ,0.00055        ,No        ,1:18,2:20,3:21,4:22,5:23,6:29,7:27,8:26,9:25,11:24,12:17,19:8,20:9,21:10
2         ,17        ,001_14330.sdf            ,006_15697.mol2           ,0.00075        ,0.00075        ,0.00075        ,No        ,0:19,1:18,2:20,3:21,4:22,5:54,12:17,13:49,19:9
2         ,18        ,001_14330.sdf            ,006_16393.sdf            ,0.00136        ,0.00136        ,0.00136        ,No        ,20:8,22:10,23:11,24:12,25:13,26:14
2         ,19        ,001_14330.sdf            ,007_14347.sdf            ,0.00335        ,0.00335        ,0.00335        ,No        ,0:16,1:15,2:17,3:18,4:19,12:14,19:6,27:5,28:33,29:34,30:2,36:3,37:4
2         ,20        ,001_14330.sdf            ,007_15694.mol2           ,0.00370        ,0.00370        ,0.00370        ,Yes       ,0:19,1:18,2:20,3:21,4:22,5:58,12:17,13:30,14:31,15:32,16:33,17:34,18:35,19:53
2         ,21        ,001_14330.sdf            ,007_15696.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,1:0
2         ,22        ,001_14330.sdf            ,008_14330.mol2           ,0.00111        ,0.00111        ,0.00111        ,No        ,4:43,5:6,6:5,7:11,8:9,9:8,10:45,11:7
2         ,23        ,001_14330.sdf            ,008_14349.sdf            ,0.00610        ,0.00610        ,0.00610        ,No        ,0:16,1:15,2:17,3:18,4:19,12:14,13:27,14:28,15:29,16:30,17:31,18:32,19:6,20:7
2         ,24        ,001_14330.sdf            ,008_15697.sdf            ,0.00552        ,0.00552        ,0.00552        ,No        ,1:18,2:20,3:21,4:22,5:23,6:29,7:27,8:26,9:25,11:24,12:17,19:9,20:10,21:11
2         ,25        ,001_14330.sdf            ,009_10920.mol2           ,0.00101        ,0.00101        ,0.00101        ,No        ,0:18,1:17,2:19,3:20,4:21,5:56,10:27,12:16,13:51,19:8
2         ,26        ,001_14330.sdf            ,009_14348.sdf            ,0.00303        ,0.00303        ,0.00303        ,No        ,1:16,2:18,3:19,4:20,5:21,6:22,7:23,8:24,9:25,10:26,11:27,12:15,19:7
2         ,27        ,001_14330.sdf            ,009_16393.sdf            ,0.00370        ,0.00370        ,0.00370        ,No        ,0:17,1:16,2:18,12:15,19:7,20:8,22:10,23:11,24:12,25:13,26:14
2         ,28        ,001_14330.sdf            ,010_17333.sdf            ,0.01005        ,0.01005        ,0.01005        ,No        ,0:0,1:1,2:2,12:12,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,30:30,36:32,37:33
2         ,29        ,001_14330.sdf            ,010_17334.mol2           ,0.00475        ,0.00475        ,0.00475        ,No        ,0:0,1:1,2:2,3:33,12:12,13:42,19:19,27:27,28:28,29:29,30:30,31:52,36:31,37:32
2         ,30        ,001_14330.sdf            ,011_15697.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,2:20,3:18
2         ,31        ,001_14330.sdf            ,011_16393.mol2           ,0.00370        ,0.00370        ,0.00370        ,No        ,1:16,2:18,3:49,12:15,13:48,19:7,20:8,21:9,22:10,23:11,24:12,25:13,26:14
2         ,32        ,001_14330.sdf            ,011_17334.sdf            ,0.00409        ,0.00409        ,0.00409        ,No        ,2:2,3:3,4:4,19:19,20:20,22:22,23:23,24:24,25:25,26:26
3         ,4         ,001_14347.mol2           ,002_14336.sdf            ,0.00552        ,0.00552        ,0.00552        ,No        ,0:38,1:36,2:35,3:3,4:4,5:5,6:6,14:14,15:15,16:16,17:17,18:18,33:33,34:34,38:1,43:27,46:19
3         ,5         ,001_14347.mol2           ,002_15696.sdf            ,0.00203        ,0.00203        ,0.00203        ,No        ,6:6,14:14,27:27,28:28,29:29,30:30,31:31,32:32,43:15
3         ,6         ,001_14347.mol2           ,002_17333.mol2           ,0.00852        ,0.00852        ,0.00852        ,No        ,1:31,2:30,3:29,4:28,5:27,6:19,7:20,14:12,15:1,16:0,17:2,18:3,19:4,25:10,33:33,34:32,38:52,39:51,43:43,44:34,45:35,46:36,47:38,48:37,57:54,58:53
3         ,7         ,001_14347.mol2           ,003_14347.sdf            ,0.00143        ,0.00143        ,0.00143        ,No        ,15:7,16:8,17:6,18:14,19:15,44:5,46:27,47:17,48:16
3         ,8         ,001_14347.mol2           ,003_14349.mol2           ,0.00136        ,0.00136        ,0.00136        ,No        ,14:14,15:15,16:16,17:17,18:18,19:19,25:25,43:40,44:41,45:43,46:42,47:44,48:45
3         ,9         ,001_14347.mol2           ,003_15694.sdf            ,0.00015        ,0.00015        ,0.00015        ,No        ,6:8,7:9,14:17,27:30,28:31,29:32,30:33,31:34,32:35,43:18
3         ,10        ,001_14347.mol2           ,004_14348.sdf            ,0.00129        ,0.00129        ,0.00129        ,No        ,15:8,16:9,17:7,18:15,19:16,44:6,46:28,47:18,48:17
3         ,11        ,001_14347.mol2           ,004_15696.mol2           ,0.00370        ,0.00370        ,0.00370        ,No        ,2:2,3:3,4:4,5:5,6:6,7:7,8:8,14:14,15:15,17:17,18:18,33:33,34:34,38:40,39:41,43:45,44:46,45:48,46:47,57:59,58:60
3         ,12        ,001_14347.mol2           ,004_17334.sdf            ,0.00452        ,0.00452        ,0.00452        ,No        ,6:19,14:12,15:1,17:2,18:3,19:4,20:5,21:6,22:7,23:8,24:9,26:11,43:13
3         ,13        ,001_14347.mol2           ,005_14336.sdf            ,0.02732        ,0.02732        ,0.02732        ,No        ,0:39,1:36,2:35,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,33:33,34:34,38:1,43:27,48:20
3         ,14        ,001_14347.mol2           ,005_14348.mol2           ,0.03688        ,0.03688        ,0.03688        ,Yes       ,2:3,3:4,4:5,5:6,6:7,7:8,8:9,14:15,15:16,16:17,17:18,18:19,19:20,20:21,21:22,22:23,23:24,24:25,26:27,33:34,34:35,38:39,39:40,43:44,44:45,45:46,46:47,47:48,48:49,49:50,50:51,51:52,52:53,57:58,58:59
3         ,15        ,001_14347.mol2           ,005_14349.sdf            ,0.00143        ,0.00143        ,0.00143        ,No        ,15:7,16:8,17:6,18:14,19:15,44:5,46:27,47:17,48:16
3         ,16        ,001_14347.mol2           ,006_15694.sdf            ,0.00083        ,0.00083        ,0.00083        ,No        ,14:17,15:18,16:19,17:20,18:21,19:22,43:8,47:23
3         ,17        ,001_14347.mol2           ,006_15697.mol2           ,0.60653        ,0.60653        ,0.60653        ,Yes       ,0:3,1:1,2:5,3:6,4:7,5:8,6:9,7:10,8:11,9:12,10:13,11:14,12:15,13:16,14:17,15:18,16:19,17:20,18:21,19:22,20:23,21:24,22:25,23:26,24:27,25:28,26:29,27:30,28:31,29:32,30:33,31:34,32:35,33:36,34:37,36:4,38:44,39:45,40:46,41:47,42:48,43:49,44:50,45:51,46:52,47:53,48:54,49:55,50:56,51:57,52:58,53:59,54:60,55:61,56:62,57:63,58:64
3         ,18        ,001_14347.mol2           ,006_16393.sdf            ,0.00409        ,0.00409        ,0.00409        ,No        ,14:15,15:16,27:28,28:29,29:30,30:31,31:32,32:33,43:7
3         ,19        ,001_14347.mol2           ,007_14347.sdf            ,0.01005        ,0.01005        ,0.01005        ,Yes       ,14:14,15:15,16:16,17:17,18:18,19:19,27:27,28:28,29:29,30:30,31:31,32:32,43:6,48:20
3         ,20        ,001_14347.mol2           ,007_15694.mol2           ,0.00158        ,0.00158        ,0.00158        ,No        ,0:2,1:1,2:4,3:37,4:36,5:7,6:8,7:9,8:10,14:17,27:30,28:31,29:32,30:33,31:34,32:35,33:6,34:5,35:41,36:42,37:43,38:68,39:67,43:53,53:63,54:64,55:65,56:66,57:48,58:47
3         ,21        ,001_14347.mol2           ,007_15696.sdf            ,0.00061        ,0.00061        ,0.00061        ,No        ,6:6,14:14,15:15,16:16,43:27
3         ,22        ,001_14347.mol2           ,008_14330.mol2           ,0.00288        ,0.00288        ,0.00288        ,No        ,2:30,3:36,4:37,5:27,6:19,7:20,8:21,17:2,18:1,19:12,25:10,33:28,34:29,38:66,39:67,44:38,46:0,47:47,48:13,57:55,58:56
3         ,23        ,001_14347.mol2           ,008_14349.sdf            ,0.00303        ,0.00303        ,0.00303        ,No        ,6:6,7:7,8:8,14:14,15:15,17:17,18:18,19:19,43:27,48:20
3         ,24        ,001_14347.mol2           ,008_15697.sdf            ,0.00083        ,0.00083        ,0.00083        ,No        ,14:17,15:18,16:19,17:20,18:21,19:22,43:9,47:23
3         ,25        ,001_14347.mol2           ,009_10920.mol2           ,0.77880        ,0.77880        ,0.77880        ,Yes       ,0:0,1:1,2:4,3:5,4:6,5:7,6:8,7:9,8:10,9:11,10:12,11:13,12:14,13:15,14:16,15:17,16:18,17:19,18:20,19:21,20:22,21:23,22:24,23:25,24:26,25:27,26:28,27:29,28:30,29:31,30:32,31:33,32:34,33:35,34:36,35:37,36:39,37:38,38:46,39:47,40:48,41:49,42:50,43:51,44:52,45:53,46:54,47:55,48:56,49:57,50:58,51:59,52:60,53:61,54:62,55:63,56:64,57:65,58:66
3         ,26        ,001_14347.mol2           ,009_14348.sdf            ,0.00499        ,0.00499        ,0.00499        ,Yes       ,15:16,17:18,18:19,19:20,20:21,21:22,22:23,23:24,24:25,25:26,26:27
3         ,27        ,001_14347.mol2           ,009_16393.sdf            ,0.00129        ,0.00129        ,0.00129        ,No        ,15:8,16:9,17:7,18:15,19:16,44:6,46:28,47:18,48:17
3         ,28        ,001_14347.mol2           ,010_17333.sdf            ,0.00318        ,0.00318        ,0.00318        ,No        ,7:20,8:21,18:3,19:4,20:5,21:6,22:7,23:8,24:9,25:10,26:11,46:2
3         ,29        ,001_14347.mol2           ,010_17334.mol2           ,0.01500        ,0.01500        ,0.01500        ,No        ,6:19,7:20,8:21,9:22,10:23,11:24,12:25,13:26,14:12,27:13,28:14,29:15,30:16,31:17,32:18,40:47,41:48,42:49,43:42,53:43,54:44,55:45,56:46
3         ,30        ,001_14347.mol2           ,011_15697.sdf            ,0.00083        ,0.00083        ,0.00083        ,No        ,6:9,7:10,14:17,15:18,16:19,17:20,43:30,44:21
3         ,31        ,001_14347.mol2           ,011_16393.mol2           ,0.00745        ,0.00745        ,0.00745        ,No        ,0:39,1:1,2:3,3:35,4:34,5:6,6:7,7:8,8:9,17:18,18:16,19:15,25:26,33:5,34:4,38:63,39:62,44:49,46:17,47:48,48:28,57:44,58:43
3         ,32        ,001_14347.mol2           ,011_17334.sdf            ,0.00091        ,0.00091        ,0.00091        ,No        ,16:21,17:2,18:3,19:4,44:1,48:5
4         ,5         ,002_14336.sdf            ,002_15696.sdf            ,0.00045        ,0.00045        ,0.00045        ,No        ,6:6,7:7,8:8,15:15,16:16
4         ,6         ,002_14336.sdf            ,002_17333.mol2           ,0.00288        ,0.00288        ,0.00288        ,No        ,1:52,3:29,4:28,5:27,6:19,14:12,15:1,27:43,33:33,34:32,35:30,36:31
4         ,7         ,002_14336.sdf            ,003_14347.sdf            ,0.00101        ,0.00101        ,0.00101        ,No        ,6:6,7:7,9:9,10:10,11:11,12:12,13:13,14:14
4         ,8         ,002_14336.sdf            ,003_14349.mol2           ,0.00335        ,0.00335        ,0.00335        ,No        ,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,26:26
4         ,9         ,002_14336.sdf            ,003_15694.sdf            ,0.00552        ,0.00552        ,0.00552        ,Yes       ,19:22,20:23,21:24,22:25,23:26,24:27,26:29,27:32,28:31,29:30,30:35,31:34,32:33
4         ,10        ,002_14336.sdf            ,004_14348.sdf            ,0.00091        ,0.00091        ,0.00091        ,No        ,6:7,7:8,9:10,10:11,11:12,12:13,13:14,14:15
4         ,11        ,002_14336.sdf            ,004_15696.mol2           ,0.00184        ,0.00184        ,0.00184        ,No        ,17:48,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26
4         ,12        ,002_14336.sdf            ,004_17334.sdf            ,0.00150        ,0.00150        ,0.00150        ,No        ,6:19,7:20,8:21,9:22,10:23,11:24,12:25,13:26,14:12
