Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,000_10920.sdf            ,000_14336.mol2           ,0.00000        ,0.00000        ,0.00000        ,No        ,0:39,1:36,2:38,3:37,8:41,9:0,10:42,11:40
0         ,2         ,000_10920.sdf            ,001_14330.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,8:19,9:20,10:21
0         ,3         ,000_10920.sdf            ,001_14347.mol2           ,0.00261        ,0.00261        ,0.00261        ,No        ,4:2,5:34,6:33,7:5,8:6,9:14,10:8,11:43,35:4,36:3
0         ,4         ,000_10920.sdf            ,002_14336.sdf            ,0.00452        ,0.00452        ,0.00452        ,No        ,1:36,2:37,3:38,4:35,5:3,6:4,7:5,11:12,12:11,13:10,14:9,15:13,35:33,36:34
0         ,5         ,000_10920.sdf            ,002_15696.sdf            ,0.00111        ,0.00111        ,0.00111        ,No        ,4:2,5:34,6:33,7:5,8:6,16:14,35:4,36:3
0         ,6         ,000_10920.sdf            ,002_17333.mol2           ,0.00000        ,0.00000        ,0.00000        ,No        ,7:34,8:2,16:1
0         ,7         ,000_10920.sdf            ,003_14347.sdf            ,0.00061        ,0.00061        ,0.00061        ,No        ,8:6,16:14,17:15,18:16
0         ,8         ,000_10920.sdf            ,003_14349.mol2           ,0.00000        ,0.00000        ,0.00000        ,No        ,16:43,17:18,18:42,19:17,20:41
0         ,9         ,000_10920.sdf            ,003_15694.sdf            ,0.00083        ,0.00083        ,0.00083        ,No        ,8:8,16:17,17:18,18:19,19:20,20:21,21:22
0         ,10        ,000_10920.sdf            ,004_14348.sdf            ,0.00055        ,0.00055        ,0.00055        ,No        ,8:7,16:15,17:16,18:17
0         ,11        ,000_10920.sdf            ,004_15696.mol2           ,0.00075        ,0.00075        ,0.00075        ,No        ,21:53,22:23,23:24,24:26,25:20,26:21,27:51,28:22
0         ,12        ,000_10920.sdf            ,004_17334.sdf            ,0.00014        ,0.00014        ,0.00014        ,No        ,4:30,5:31,6:32,7:27,8:19,16:20,35:28,36:29
0         ,13        ,000_10920.sdf            ,005_14336.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,0:39,1:36,2:38,3:37,9:0
0         ,14        ,000_10920.sdf            ,005_14348.mol2           ,0.00409        ,0.00409        ,0.00409        ,No        ,0:19,1:47,4:3,5:35,6:34,7:6,8:7,9:8,10:9,18:2,35:5,36:4
0         ,15        ,000_10920.sdf            ,005_14349.sdf            ,0.00061        ,0.00061        ,0.00061        ,No        ,8:6,16:14,17:15,18:16
0         ,16        ,000_10920.sdf            ,006_15694.sdf            ,0.00006        ,0.00006        ,0.00006        ,No        ,8:20,9:18,10:19,16:21,20:17
0         ,17        ,000_10920.sdf            ,006_15697.mol2           ,0.00184        ,0.00184        ,0.00184        ,No        ,4:5,5:37,6:36,7:8,8:9,10:11,35:7,36:6
0         ,18        ,000_10920.sdf            ,006_16393.sdf            ,0.00409        ,0.00409        ,0.00409        ,No        ,8:7,9:8,16:15,17:16,18:17,19:18,20:19,21:20,22:21,23:27,24:25,25:24,26:23,28:22
0         ,19        ,000_10920.sdf            ,007_14347.sdf            ,0.00203        ,0.00203        ,0.00203        ,No        ,8:6,9:7,10:8,16:14,17:15,18:16,19:17
0         ,20        ,000_10920.sdf            ,007_15694.mol2           ,0.00335        ,0.00335        ,0.00335        ,No        ,1:43,2:2,4:4,5:5,6:6,7:7,8:8,16:17,17:18,18:19,29:53,35:36,36:37
0         ,21        ,000_10920.sdf            ,007_15696.sdf            ,0.00303        ,0.00303        ,0.00303        ,No        ,9:7,10:8,16:14,17:15,19:17,20:18,21:19,22:20,23:26,24:24,25:23,26:22,28:21
0         ,22        ,000_10920.sdf            ,008_14330.mol2           ,0.00499        ,0.00499        ,0.00499        ,Yes       ,8:47,16:12,17:1,19:2,20:3,21:4,22:42,29:13,30:14,31:15,32:16,33:17,34:18
0         ,23        ,000_10920.sdf            ,008_14349.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,16:14,17:15,18:16
0         ,24        ,000_10920.sdf            ,008_15697.sdf            ,0.00101        ,0.00101        ,0.00101        ,No        ,8:9,9:10,11:12,12:13,13:14,14:15,15:16,21:2
0         ,25        ,000_10920.sdf            ,009_10920.mol2           ,0.00166        ,0.00166        ,0.00166        ,No        ,4:4,5:36,6:35,7:7,8:8,35:6,36:5
0         ,26        ,000_10920.sdf            ,009_14348.sdf            ,0.00083        ,0.00083        ,0.00083        ,No        ,8:7,11:10,12:11,13:12,14:13,15:14
0         ,27        ,000_10920.sdf            ,009_16393.sdf            ,0.00055        ,0.00055        ,0.00055        ,No        ,8:7,16:15,17:16,18:17
0         ,28        ,000_10920.sdf            ,010_17333.sdf            ,0.00610        ,0.00610        ,0.00610        ,Yes       ,8:19,9:20,10:21,16:12,29:13,30:14,31:15,32:16,33:17,34:18
0         ,29        ,000_10920.sdf            ,010_17334.mol2           ,0.00111        ,0.00111        ,0.00111        ,No        ,8:42,16:12,17:1,18:0,19:2,20:3,21:4,22:36
