Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,000_17508.sdf            ,001_17911.sdf            ,0.32354        ,0.32354        ,0.32354        ,No        ,
0         ,2         ,000_17508.sdf            ,002_17910.sdf            ,0.52134        ,0.52134        ,0.52134        ,No        ,
0         ,3         ,000_17508.sdf            ,003_17835.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,4         ,000_17508.sdf            ,004_16058.sdf            ,1.00000        ,1.00000        ,1.00000        ,Yes       ,
0         ,5         ,000_17508.sdf            ,005_17162.sdf            ,0.59578        ,0.59578        ,0.59578        ,Yes       ,
0         ,6         ,000_17508.sdf            ,006_17912.sdf            ,0.53825        ,0.53825        ,0.53825        ,No        ,
1         ,2         ,001_17911.sdf            ,002_17910.sdf            ,0.09845        ,0.09845        ,0.09845        ,No        ,
1         ,3         ,001_17911.sdf            ,003_17835.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
1         ,4         ,001_17911.sdf            ,004_16058.sdf            ,0.08530        ,0.08530        ,0.08530        ,No        ,
1         ,5         ,001_17911.sdf            ,005_17162.sdf            ,0.45734        ,0.45734        ,0.45734        ,Yes       ,
1         ,6         ,001_17911.sdf            ,006_17912.sdf            ,0.13755        ,0.13755        ,0.13755        ,No        ,
2         ,3         ,002_17910.sdf            ,003_17835.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
2         ,4         ,002_17910.sdf            ,004_16058.sdf            ,0.58223        ,0.58223        ,0.58223        ,No        ,
2         ,5         ,002_17910.sdf            ,005_17162.sdf            ,0.62418        ,0.62418        ,0.62418        ,Yes       ,
2         ,6         ,002_17910.sdf            ,006_17912.sdf            ,0.61179        ,0.61179        ,0.61179        ,Yes       ,
3         ,4         ,003_17835.sdf            ,004_16058.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
3         ,5         ,003_17835.sdf            ,005_17162.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
3         ,6         ,003_17835.sdf            ,006_17912.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
4         ,5         ,004_16058.sdf            ,005_17162.sdf            ,0.64066        ,0.64066        ,0.64066        ,No        ,
4         ,6         ,004_16058.sdf            ,006_17912.sdf            ,0.76584        ,0.76584        ,0.76584        ,Yes       ,
5         ,6         ,005_17162.sdf            ,006_17912.sdf            ,0.09596        ,0.09596        ,0.09596        ,No        ,
