Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,000_20938.sdf            ,001_20940.sdf            ,0.33436        ,0.33436        ,0.33436        ,No        ,
0         ,2         ,000_20938.sdf            ,002_20985.sdf            ,0.27264        ,0.27264        ,0.27264        ,No        ,
0         ,3         ,000_20938.sdf            ,003_20937.sdf            ,0.31845        ,0.31845        ,0.31845        ,No        ,
0         ,4         ,000_20938.sdf            ,004_20979.sdf            ,0.22206        ,0.22206        ,0.22206        ,No        ,
0         ,5         ,000_20938.sdf            ,005_20877.sdf            ,0.15288        ,0.15288        ,0.15288        ,No        ,
0         ,6         ,000_20938.sdf            ,006_20371.sdf            ,0.25731        ,0.25731        ,0.25731        ,No        ,
0         ,7         ,000_20938.sdf            ,007_20982.sdf            ,0.26893        ,0.26893        ,0.26893        ,No        ,
0         ,8         ,000_20938.sdf            ,008_19344.sdf            ,0.15548        ,0.15548        ,0.15548        ,No        ,
0         ,9         ,000_20938.sdf            ,009_20369.sdf            ,0.20923        ,0.20923        ,0.20923        ,No        ,
0         ,10        ,000_20938.sdf            ,010_20481.sdf            ,0.11604        ,0.11604        ,0.11604        ,No        ,
0         ,11        ,000_20938.sdf            ,011_20480.sdf            ,0.08947        ,0.08947        ,0.08947        ,No        ,
0         ,12        ,000_20938.sdf            ,012_20483.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,13        ,000_20938.sdf            ,013_20482.sdf            ,0.09328        ,0.09328        ,0.09328        ,No        ,
0         ,14        ,000_20938.sdf            ,014_20936.sdf            ,0.40914        ,0.40914        ,0.40914        ,Yes       ,
0         ,15        ,000_20938.sdf            ,015_20981.sdf            ,0.22441        ,0.22441        ,0.22441        ,No        ,
0         ,16        ,000_20938.sdf            ,016_20696.sdf            ,0.21296        ,0.21296        ,0.21296        ,No        ,
0         ,17        ,000_20938.sdf            ,017_20975.sdf            ,0.19439        ,0.19439        ,0.19439        ,No        ,
0         ,18        ,000_20938.sdf            ,018_20095.sdf            ,0.15288        ,0.15288        ,0.15288        ,No        ,
0         ,19        ,000_20938.sdf            ,019_20939.sdf            ,0.25190        ,0.25190        ,0.25190        ,No        ,
0         ,20        ,000_20938.sdf            ,020_20971.sdf            ,0.09093        ,0.09093        ,0.09093        ,No        ,
0         ,21        ,000_20938.sdf            ,021_20094.sdf            ,0.15445        ,0.15445        ,0.15445        ,No        ,
0         ,22        ,000_20938.sdf            ,022_20935.sdf            ,0.29037        ,0.29037        ,0.29037        ,No        ,
0         ,23        ,000_20938.sdf            ,023_20941.sdf            ,0.27373        ,0.27373        ,0.27373        ,No        ,
0         ,24        ,000_20938.sdf            ,024_20983.sdf            ,0.21760        ,0.21760        ,0.21760        ,No        ,
0         ,25        ,000_20938.sdf            ,025_20961.sdf            ,0.04617        ,0.04617        ,0.04617        ,No        ,
0         ,26        ,000_20938.sdf            ,026_20988.sdf            ,0.10957        ,0.10957        ,0.10957        ,No        ,
0         ,27        ,000_20938.sdf            ,027_20970.sdf            ,0.21370        ,0.21370        ,0.21370        ,No        ,
0         ,28        ,000_20938.sdf            ,028_20987.sdf            ,0.25212        ,0.25212        ,0.25212        ,No        ,
0         ,29        ,000_20938.sdf            ,029_20978.sdf            ,0.29478        ,0.29478        ,0.29478        ,No        ,
