index,CID,SMILES
18981,MAT-POS-7174c657-6,O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCCC2)O1
16419,EDJ-MED-ee07cf00-11,O=C(NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)C1CCC(C(=O)N2CCCC2)O1
16919,MAT-POS-a13804f0-4,O=C(Nc1cncc2ccccc12)C(NC(=O)[C@@H]1CC[C@H](C(=O)N2CCCC2)O1)c1cccc(Cl)c1
18074,ALP-POS-a9ad2217-1,O=C(Nc1cncc2ccccc12)C(NC(=O)[C@@H]1CC[C@H](C(=O)N2CCCC2)O1)c1ccc(Cl)c(Cl)c1
18092,PET-UNK-1320d94d-1,CN(C)C(=O)[C@H]1CC[C@@H](C(=O)N[C@@H](C(=O)Nc2cncc3ccccc23)c2cccc(Cl)c2)O1
18093,PET-UNK-1320d94d-2,CN(C)C(=O)[C@H]1CC[C@@H](C(=O)N[C@H](C(=O)Nc2cncc3ccccc23)c2cccc(Cl)c2)O1
18094,PET-UNK-1320d94d-3,O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCOCC2)O1
18095,PET-UNK-1320d94d-4,O=C(N[C@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCOCC2)O1
18096,PET-UNK-1320d94d-5,O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCC2)O1
18097,PET-UNK-1320d94d-6,O=C(N[C@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCC2)O1
18100,PET-UNK-1320d94d-9,O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CCC[C@H](C(=O)N2CCCC2)O1
18101,PET-UNK-1320d94d-10,O=C(N[C@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CCC[C@H](C(=O)N2CCCC2)O1
18106,PET-UNK-1320d94d-15,O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCC2)O1
18107,PET-UNK-1320d94d-16,O=C(N[C@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCC2)O1
18110,PET-UNK-1320d94d-19,O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1)[C@@H]1CCC[C@H](C(=O)N2CCCC2)O1
18111,PET-UNK-1320d94d-20,O=C(N[C@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1)[C@@H]1CCC[C@H](C(=O)N2CCCC2)O1
18213,PET-UNK-ac320b15-1,O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)cc1)[C@@H]1CC[C@H](C(=O)N2CCCC2)O1
18214,PET-UNK-ac320b15-2,O=C(N[C@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)cc1)[C@@H]1CC[C@H](C(=O)N2CCCC2)O1
18217,PET-UNK-ac320b15-5,O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@H]1CC[C@H](C(=O)N2CCCC2)O1
18218,PET-UNK-ac320b15-6,O=C(Nc1cncc2ccccc12)[C@@H](NC(=O)[C@H]1CC[C@H](C(=O)N2CCCC2)O1)c1cccc(Cl)c1
18219,PET-UNK-ac320b15-7,O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@@H](C(=O)N2CCCC2)O1
18220,PET-UNK-ac320b15-8,O=C(N[C@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@@H](C(=O)N2CCCC2)O1
18221,PET-UNK-ac320b15-9,O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@H]1CC[C@@H](C(=O)N2CCCC2)O1
18222,PET-UNK-ac320b15-10,O=C(Nc1cncc2ccccc12)[C@@H](NC(=O)[C@H]1CC[C@@H](C(=O)N2CCCC2)O1)c1cccc(Cl)c1
18359,MAT-POS-8293a91a-2,O=C(Nc1cncc2ccccc12)C(NC(=O)[C@H]1CC[C@H](C(=O)N2CCCC2)O1)c1cccc(Cl)c1
18363,MAT-POS-8293a91a-6,O=C(Nc1cncc2ccccc12)C(NC(=O)[C@@H]1CC[C@@H](C(=O)N2CCCC2)O1)c1cccc(Cl)c1
18364,MAT-POS-8293a91a-7,O=C(Nc1cncc2ccccc12)C(NC(=O)[C@H]1CC[C@@H](C(=O)N2CCCC2)O1)c1cccc(Cl)c1
18980,MAT-POS-7174c657-5,O=C(N[C@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCCC2)O1
