index,CID,SMILES
20283,MAT-POS-853c0ffa-9,CN(C)CCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1
20284,MAT-POS-853c0ffa-10,COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN(C)C)cc45)C3=O)C2)CC1
20293,MAT-POS-853c0ffa-19,CN(C)CCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1
20670,EDJ-MED-ee81482e-3,CN(C)CC(O)COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1
20690,MAT-POS-40ad851a-1,CN1CCCC1COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1
20691,MAT-POS-40ad851a-2,CCN(C)CCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1
20692,MAT-POS-40ad851a-3,CCN(CC)CCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1
20693,MAT-POS-40ad851a-4,CN(C)CCCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1
20694,MAT-POS-40ad851a-5,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCCN6CCCC6)cc45)C3=O)C2)CC1
20697,EDJ-MED-b6c6ee2b-3,COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1
20702,EDJ-MED-468565e0-1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCCC6)cc45)C3=O)C2)CC1
20703,EDJ-MED-468565e0-2,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCOCC6)cc45)C3=O)C2)CC1
20704,EDJ-MED-468565e0-3,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCS(=O)(=O)CC6)cc45)C3=O)C2)CC1
20705,EDJ-MED-468565e0-4,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCC(F)(F)CC6)cc45)C3=O)C2)CC1
20706,EDJ-MED-468565e0-5,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CC(F)(F)C6)cc45)C3=O)C2)CC1
20990,MAT-POS-1a788f51-1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCO)cc45)C3=O)C2)CC1
20991,MAT-POS-1a788f51-2,COCCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1
